Datum;Tid (UTC);Lufttemperatur;Kvalitet
2024-06-06;10:00;16.3;G
2024-06-06;11:00;16.7;G
2024-06-06;12:00;16.1;G
2024-06-06;13:00;16.7;G
2024-06-06;14:00;16.7;G
2024-06-06;15:00;16.5;G
2024-06-06;16:00;16.4;G
2024-06-06;17:00;15.6;G
2024-06-06;18:00;15.4;G
2024-06-06;19:00;14.7;G
2024-06-06;20:00;13.1;G
2024-06-06;21:00;12.9;G
2024-06-06;22:00;12.1;G
2024-06-06;23:00;10.1;G
2024-06-07;00:00;9.2;G
2024-06-07;01:00;8.4;G
2024-06-07;02:00;8.0;G
2024-06-07;03:00;8.5;G
2024-06-07;04:00;9.6;G
2024-06-07;05:00;10.8;G
2024-06-07;06:00;12.6;G
2024-06-07;07:00;13.9;G
2024-06-07;08:00;15.4;G
2024-06-07;09:00;16.1;G
2024-06-07;10:00;15.1;G
